benchmark,transport,scenario,sample,control_latency_ns,total_iteration_ns
hol_blocking,TCP,harsh,19,1393400337,2994269645
hol_blocking,TCP,harsh,20,187223479,2973262976
hol_blocking,TCP,harsh,21,192019976,2976197252
hol_blocking,TCP,harsh,22,210229960,3004498235
hol_blocking,TCP,harsh,23,205683975,6571764827
hol_blocking,TCP,harsh,24,209711771,3068107146
hol_blocking,TCP,harsh,25,203013830,2966764952
hol_blocking,TCP,harsh,26,683715755,3155637082
hol_blocking,TCP,harsh,27,416861407,3135002803
hol_blocking,TCP,harsh,28,206104642,3079992210
hol_blocking,TCP,harsh,29,199909116,2927435700
hol_blocking,TCP,harsh,30,206717390,2935648642
hol_blocking,QUIC,harsh,1,105752459,12754820661
hol_blocking,QUIC,harsh,2,100213036,14153251899
hol_blocking,QUIC,harsh,3,204933467,13087307767
hol_blocking,QUIC,harsh,4,44934904,10799195146
hol_blocking,QUIC,harsh,5,91940366,13201279509
hol_blocking,QUIC,harsh,6,107538316,13053726850
hol_blocking,QUIC,harsh,7,112343555,14788887982
hol_blocking,QUIC,harsh,8,77067727,10353202927
hol_blocking,QUIC,harsh,9,98499671,11321706199
hol_blocking,QUIC,harsh,10,74638525,11523678875
hol_blocking,QUIC,harsh,11,100233122,12838174887
hol_blocking,QUIC,harsh,12,86922847,10113446505
hol_blocking,QUIC,harsh,13,70939841,12606541621
hol_blocking,QUIC,harsh,14,84123777,14701262299
hol_blocking,QUIC,harsh,15,244727204,11349187726
hol_blocking,QUIC,harsh,16,102408729,13092420197
hol_blocking,QUIC,harsh,17,234721008,12800352301
hol_blocking,QUIC,harsh,18,73593600,14518910389
hol_blocking,QUIC,harsh,19,67103610,13308315640
hol_blocking,QUIC,harsh,20,76604644,11451680749
hol_blocking,QUIC,harsh,21,93394584,11228066838
hol_blocking,QUIC,harsh,22,101397155,10301469040
hol_blocking,QUIC,harsh,23,92114119,11519747364
hol_blocking,QUIC,harsh,24,87521128,12491061380
hol_blocking,QUIC,harsh,25,325004387,13461602612
hol_blocking,QUIC,harsh,26,41463017,10993556027
hol_blocking,QUIC,harsh,27,92775955,12319005270
hol_blocking,QUIC,harsh,28,92453160,12539018286
hol_blocking,QUIC,harsh,29,97170292,13228057855
hol_blocking,QUIC,harsh,30,110142331,10818018362
