benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,QUIC,wan,4,9,387241183
consensus_with_setup,QUIC,wan,4,10,218687239
consensus_with_setup,QUIC,wan,4,11,206511205
consensus_with_setup,QUIC,wan,4,12,218688334
consensus_with_setup,QUIC,wan,4,13,220942063
consensus_with_setup,QUIC,wan,4,14,225225321
consensus_with_setup,QUIC,wan,4,15,218817639
consensus_with_setup,QUIC,wan,4,16,223888764
consensus_with_setup,QUIC,wan,4,17,217416960
consensus_with_setup,QUIC,wan,4,18,363376802
consensus_with_setup,QUIC,wan,4,19,225582388
consensus_with_setup,QUIC,wan,4,20,224539666
consensus_with_setup,QUIC,wan,4,21,223841850
consensus_with_setup,QUIC,wan,4,22,224804755
consensus_with_setup,QUIC,wan,4,23,220892987
consensus_with_setup,QUIC,wan,4,24,418514159
consensus_with_setup,QUIC,wan,4,25,220976380
consensus_with_setup,QUIC,wan,4,26,373346345
consensus_with_setup,QUIC,wan,4,27,220133317
consensus_with_setup,QUIC,wan,4,28,224721430
consensus_with_setup,QUIC,wan,4,29,225763008
consensus_with_setup,QUIC,wan,4,30,212112534
consensus_with_setup,TCP,harsh,4,1,2422878427
consensus_with_setup,TCP,harsh,4,2,339354327
consensus_with_setup,TCP,harsh,4,3,1504277413
consensus_with_setup,TCP,harsh,4,4,1932333535
consensus_with_setup,TCP,harsh,4,5,666566894
consensus_with_setup,TCP,harsh,4,6,443267661
consensus_with_setup,TCP,harsh,4,7,1296127378
consensus_with_setup,TCP,harsh,4,8,347604188
consensus_with_setup,TCP,harsh,4,9,733220831
consensus_with_setup,TCP,harsh,4,10,346528034
consensus_with_setup,TCP,harsh,4,11,467526245
consensus_with_setup,TCP,harsh,4,12,339869414
consensus_with_setup,TCP,harsh,4,13,1256749019
consensus_with_setup,TCP,harsh,4,14,1327976883
consensus_with_setup,TCP,harsh,4,15,865064375
consensus_with_setup,TCP,harsh,4,16,418948066
consensus_with_setup,TCP,harsh,4,17,1287747072
consensus_with_setup,TCP,harsh,4,18,1538803083
consensus_with_setup,TCP,harsh,4,19,341697916
consensus_with_setup,TCP,harsh,4,20,1303596542
consensus_with_setup,TCP,harsh,4,21,873272338
consensus_with_setup,TCP,harsh,4,22,520177776
consensus_with_setup,TCP,harsh,4,23,1510144632
consensus_with_setup,TCP,harsh,4,24,338813249
consensus_with_setup,TCP,harsh,4,25,1289134538
consensus_with_setup,TCP,harsh,4,26,350282485
consensus_with_setup,TCP,harsh,4,27,449677015
consensus_with_setup,TCP,harsh,4,28,1288332885
consensus_with_setup,TCP,harsh,4,29,533308761
consensus_with_setup,TCP,harsh,4,30,328782504
consensus_with_setup,QUIC,harsh,4,1,529661197
consensus_with_setup,QUIC,harsh,4,2,588791503
consensus_with_setup,QUIC,harsh,4,3,913814028
