benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus_7n,QUIC,harsh,7,1,297137669
steady_state_consensus_7n,QUIC,harsh,7,2,292899936
steady_state_consensus_7n,QUIC,harsh,7,3,245989563
steady_state_consensus_7n,QUIC,harsh,7,4,239504570
steady_state_consensus_7n,QUIC,harsh,7,5,223085461
steady_state_consensus_7n,QUIC,harsh,7,6,309657959
steady_state_consensus_7n,QUIC,harsh,7,7,233991568
steady_state_consensus_7n,QUIC,harsh,7,8,221445818
steady_state_consensus_7n,QUIC,harsh,7,9,419881759
steady_state_consensus_7n,QUIC,harsh,7,10,211406405
steady_state_consensus_7n,QUIC,harsh,7,11,216574539
steady_state_consensus_7n,QUIC,harsh,7,12,309963503
steady_state_consensus_7n,QUIC,harsh,7,13,198508480
steady_state_consensus_7n,QUIC,harsh,7,14,304275451
steady_state_consensus_7n,QUIC,harsh,7,15,186624456
steady_state_consensus_7n,QUIC,harsh,7,16,272344240
steady_state_consensus_7n,QUIC,harsh,7,17,216556690
steady_state_consensus_7n,QUIC,harsh,7,18,205239381
steady_state_consensus_7n,QUIC,harsh,7,19,324927528
steady_state_consensus_7n,QUIC,harsh,7,20,213717297
steady_state_consensus_7n,QUIC,harsh,7,21,216493097
steady_state_consensus_7n,QUIC,harsh,7,22,202948078
steady_state_consensus_7n,QUIC,harsh,7,23,220025926
steady_state_consensus_7n,QUIC,harsh,7,24,216848217
steady_state_consensus_7n,QUIC,harsh,7,25,211294784
steady_state_consensus_7n,QUIC,harsh,7,26,262014794
steady_state_consensus_7n,QUIC,harsh,7,27,212702546
steady_state_consensus_7n,QUIC,harsh,7,28,216095590
steady_state_consensus_7n,QUIC,harsh,7,29,208029795
steady_state_consensus_7n,QUIC,harsh,7,30,212405231
